Date,Not indexed,Indexed,Impressions
2026-02-12,,,96
2026-02-13,,,43
2026-02-14,16,25,26
2026-02-15,19,23,55
2026-02-16,19,23,51
2026-02-17,19,23,62
2026-02-18,16,26,62
2026-02-19,16,26,41
2026-02-20,16,26,47
2026-02-21,16,26,38
2026-02-22,22,20,38
2026-02-23,22,20,160
2026-02-24,22,20,193
